Country,Continent,Total_Cases,Population,"Confirmed Case per 10,000 population"
Eswatini,Africa,74133,1184817,625.6915625
Guyana,South America,72950,794045,918.7136749
Belize,North America,70660,412190,1714.257988
Fiji,Oceania,68820,909466,756.7077824
Madagascar,Africa,67827,29178077,23.24587738
Sudan,Africa,63742,45992020,13.85936082
Mauritania,Africa,63665,4901981,129.8760644
Cabo Verde,Africa,63229,567678,1113.818045
Bhutan,Asia,62605,787941,794.539185
Syria,Asia,57453,19364809,29.66876668
Burundi,Africa,53492,12624840,42.37043796
Seychelles,Africa,50665,99426,5095.749603
Gabon,Africa,48981,2331533,210.0806637
Andorra,Europe,47839,77463,6175.722603
Papua New Guinea,Oceania,46750,9292169,50.31118138
Curaçao,North America,45986,165529,2778.123471
Aruba,North America,43993,107609,4088.226821
Tanzania,Africa,42664,63298550,6.740122799
Mayotte,Africa,42002,286259,1467.272645
Mauritius,Africa,41652,1274727,326.7523164
Togo,Africa,39354,8680837,45.33433815
Guinea,Africa,38240,13865691,27.57886354
Isle of Man,Europe,38008,85732,4433.350441
Bahamas,North America,37491,400516,936.067473
Lesotho,Africa,34790,2175699,159.9026336
Faeroe Islands,Europe,34658,49233,7039.587269
Haiti,North America,34076,11680283,29.17395067
Mali,Africa,32783,21473764,15.26653641
Cayman Islands,North America,31472,67277,4677.973156
Saint Lucia,North America,29803,185113,1609.989574
Benin,Africa,27989,12784726,21.8925302
Somalia,Africa,27318,16841795,16.22036131
Congo,Africa,25375,5797805,43.76656338
Solomon Islands,Oceania,24575,721159,340.770898
San Marino,Europe,23427,34085,6873.111339
Timor-Leste,Asia,23415,1369429,170.9836728
Micronesia,Oceania,22676,117489,1930.053026
Burkina Faso,Africa,22025,22102838,9.964783708
Liechtenstein,Europe,21340,38387,5559.173679
Gibraltar,Europe,20399,33704,6052.397342
Grenada,North America,19680,113475,1734.30271
Bermuda,North America,18766,61939,3029.755082
Nicaragua,North America,18491,6779100,27.27648213
South Sudan,Africa,18368,11618511,15.80925473
Tajikistan,Asia,17786,9957464,17.86197771
Equatorial Guinea,Africa,17190,1496662,114.855592
Tonga,Oceania,16734,107749,1553.053857
Samoa,Oceania,16087,202239,795.4449933
Monaco,Europe,16056,39783,4035.894729
Dominica,North America,15760,72344,2178.480593
Djibouti,Africa,15690,1016097,154.4143915
Marshall Islands,Oceania,15584,60057,2594.868209
CAR,Africa,15368,5016678,30.63381784
Gambia,Africa,12586,2558482,49.19323255
Saint Martin,North America,12233,39730,3079.033476
Vanuatu,Oceania,12014,321832,373.3003555
Greenland,North America,11971,56973,2101.17073
Yemen,Asia,11945,31154867,3.834071896
Caribbean Netherlands,North America,11661,26647,4376.102376
Sint Maarten,North America,11010,43966,2504.207797
Eritrea,Africa,10189,3662244,27.82173989
Niger,Africa,9931,26083660,3.807364457
St. Vincent Grenadines,North America,9585,111551,859.2482362
Antigua and Barbuda,North America,9106,99509,915.0931072
Comoros,Africa,8992,907419,99.09424422
Guinea-Bissau,Africa,8947,2063367,43.36116648
Liberia,Africa,8062,5305117,15.19664882
Sierra Leone,Africa,7760,8306436,9.342153482
Chad,Africa,7652,17413580,4.394271597
British Virgin Islands,North America,7305,30596,2387.567002
